,Unnamed: 0,상품명,현재 펀딩 금액,펀딩 퍼센트,목표금액,후원자 수
0,0,프리랜서 작가로 한 달에 400~1000만 원 버는 법,"21,305,777",4261,"500,000",611명
1,1,"기독교 대천사부터 본디에이의 천사까지, <천사소개록>","81,663,900",927,"8,800,000","2,637명"
2,2,데뷔 못 하면 죽는 병 걸림 1차 공식 굿즈,"423,791,000",4237,"10,000,000","13,866명"
3,3,500가지 기호와 상징 <SYMBOLS> 심볼 사전,"158,012,700",1053,"15,000,000","4,257명"
4,4,"월간커피, 군밤과 군고구마 같은 겨울 간식 콜드브루 커피","6,730,000",1346,"500,000",306명
5,5,문 시놉시스 : 웹소설 작가가 만든 하이퍼링크 시놉시스,"38,127,535",7625,"500,000","2,960명"
6,6,세상에 없던 새로운 수채화 다이어리,"14,863,000",1486,"1,000,000",213명
7,7,웹툰&일러스트 꽃과 과일 장식 브러쉬,"5,146,000",428,"1,200,000",183명
8,8,[살인의 향기] 인류 최초의 '살인'에 대하여..,"28,317,100",5663,"500,000",666명
9,9,우리나라 역사 속 하늘세계로<찬란한 우리 천체 이야기-상>,"19,567,000",244,"8,000,000",589명
10,10,관점을 바꾸는 그림시 <뻐끔뻐끔>,"3,659,200",731,"500,000",51명
11,11,"화려한 제복의 시대 ""그림으로보는 대한제국의 군복""","11,081,000",738,"1,500,000",446명
12,12,2022년 검은호랑이[흑호] 캔버스백&폰/이어폰케이스&키링,"25,194,000",2519,"1,000,000",711명
13,13,어느 여행자가 남긴 <<판타지 설정 도감>>,"48,928,833",1223,"4,000,000","1,705명"
14,14,[압생트] 녹색의 요정은 '고흐'에게 녹색악마로 변하였다.,"22,327,000",4465,"500,000",403명
15,15,게으른 완벽주의자들을 위한 플래너 <데일리 처방전>,"14,639,000",461,"3,173,279",517명
16,16,오픈월드형 스토리텔링 보드게임 [슬리핑 갓즈 한국어판],"188,746,000",1887,"10,000,000","1,610명"
17,17,"고전에서 발굴한 해몽 기록, <꿈보다 해몽> 도감","12,098,000",604,"2,000,000",578명
18,18,방안을 가득 채울 수 있는 풀장: [프룸] 인센스 홀더,"1,020,000",127,"800,000",36명
19,19,타로와 점성술의 조합 '별 타로카드 PRO',"12,399,600",137,"9,000,000",373명
20,20,대장정의 마지막! <가담항설> 오디오 웹툰 드라마 시즌3,"91,406,000",114,"80,000,000",727명
21,21,[지옥] '지옥'의 향기을 담아내다.,"19,696,000",3939,"500,000",351명
22,22,[weDIGIDOG]상업 내부 7종 모음,"1,276,000",127,"1,000,000",29명
23,23,"<ANCIENT KOREA> 금관의 시대, 고대 한복의 멋","3,523,000",88,"4,000,000",138명
24,24,"음악을 가지다, <NFT>가 적용 된 음악을 소유할 기회","16,361,500",545,"3,000,000",103명
25,25,"내 방안의 작은 불멍, 연기폴폴 화목난로","1,600,500",320,"500,000",28명
26,26,중등수학부터 고등수학까지 한번에 정리한 <수포의 공식집>,"15,547,800",518,"3,000,000",666명
27,27,이 세상에 없는 꾸덕함! 홈카페를 완성할<모아 그릭요거트>,"10,576,600",1057,"1,000,000",247명
28,28,"베이커리의 맛을 더욱 끌어올려줄 이색 아이템, 통무화과잼","611,400",55,"1,100,000",26명
29,29,"1~4인까지, 협동 타이쿤 [Turn the Line!]","7,002,000",233,"3,000,000",89명
30,30,진정한 사랑과 행복을 찾아서 <True Love>,"3,063,600",122,"2,500,000",62명
31,31,웹툰 <퀴퀴한일기> 단행본 & 캘린더 & 다이어리 제작!,"39,972,000",399,"10,000,000","1,166명"
32,32,스케치업 웹툰배경 - 로판 대신전세트 Part - 2,"12,069,600",1206,"1,000,000",99명
33,33,살짝... 설렜을지도... 다 함께 메이킹 BL ~학원편~,"19,934,600",362,"5,500,000",568명
34,34,목공인의 필독서! 목공에 관한 모든 것을 담은 책,"10,240,000",204,"5,000,000",153명
35,35,기다리고 기다렸다! 창작자를 위한 테크웨어 브러쉬,"20,293,000",1352,"1,500,000",415명
36,36,러시아 아방가르드의 이론과 실제 : 말레비치와 그의 학파,"3,723,800",250,"1,488,000",97명
37,37,"불로장생을 상징하는 10가지의 물상, 십장생 노리개와 키링","444,900",88,"500,000",21명
38,38,네이버웹툰 <독립일기> 자까 무드등 & 미니휴지통,"19,851,000",198,"10,000,000",470명
39,39,가나슈를 즐기는 또 하나의 방법 트러플 초콜릿,"10,692,200",678,"1,576,800",196명
40,40,새해엔 우리 <희망을 버려요>!! 염세주의자를 위한 그림책,"1,977,200",197,"1,000,000",86명
41,41,"색이 말해주는 나의 감정, 감정카드 <컬러 유어 이모션>","13,589,000",905,"1,500,000",423명
42,42,"웹툰, 일러스트를 위한 헤일로 후광과 문양 브러쉬!","12,705,000",1270,"1,000,000",385명
43,43,해양폐기물을 이용해 재 탄생한 작은 바다,"551,000",110,"500,000",19명
44,44,새해 액운을 무찌르는 나만의 수호신- 오방색 플라옥노리개,"10,981,680",1098,"1,000,000",165명
45,45,종이로 옮겨간 플레이리스트 [뮤직 다이어리],"2,566,000",366,"700,000",112명
46,46,19세기 말 런던의 금수양복점 <금수를 위한 의복가이드>,"2,858,000",285,"1,000,000",100명
47,47,왕이 사랑한 보석같은 궁중디저트를 선물합니다.,"7,470,000",747,"1,000,000",102명
48,48,친절한 미디 작곡 입문서 <비트메이킹 1:1 레슨>,"2,420,000",242,"1,000,000",96명
49,49,네이버웹툰 <당신의 과녁> 1-5권 완결판 단행본 제작,"29,772,000",2977,"1,000,000",368명
50,50,당신만 초대받았어요. 비밀의 유니콘 마법 포션 향수,"33,848,000",6769,"500,000",540명
51,51,"내가 완성하는 매거진북, __는 이렇게 말했다","1,831,200",366,"500,000",103명
52,52,이번 새해선물은 겨울입니다.<겨울 한 권><겨울 한 박스>,"520,600",104,"500,000",14명
53,53,"1인 가구 생활백서, <혼자서도 잘살 수 있어!>","1,599,000",53,"3,000,000",115명
54,54,QR을 찍으면 영상으로 해석해 주는 타로카드 <타로메이트>,"27,805,800",695,"4,000,000",873명
55,55,"<천라사신단> 모집! 망토제복과 휘장, 보구를 갖춰보세요.","15,990,000",319,"5,000,000",156명
56,56,2022년 수묵 담채 호랑이 탁상용 캘린더 2종,"3,044,000",101,"3,000,000",132명
57,57,[달콤하지만 당이 1g이하!] 저당 햇땅콩 카카오 그래놀라,"5,692,000",406,"1,400,000",202명
58,58,카카오를 70시간 맷돌에 갈아만든 찐 생초콜릿 케이크,"11,981,800",1198,"1,000,000",146명
59,59,<금목서 > 세이렌의 노래 그 찬란한 아름다움,"4,231,000",846,"500,000",129명
60,60,"2022년, 꽃길만 걷자! 조선의 꽃을 담은 [복조리백]","1,387,300",277,"500,000",40명
61,61,"<마담 보바리>, 이브 생로랑의 옷을 입다.","4,380,000",146,"3,000,000",98명
62,62,"감싸안고 싶은 포근함, 호텔에서 느껴본! 4계절 고밀도침구","2,532,850",506,"500,000",13명
63,63,"소중한 반려동물, 펫 유산균으로 챙기는 장 건강","946,000",189,"500,000",11명
64,64,MZ세대의 진로 고민 워크북 <그래서 난 뭐하지?>,"1,904,000",317,"600,000",91명
65,65,반전매력! 순수하고 음란한 연인들의 앤디카드,"2,395,000",299,"800,000",90명
66,66,"버려진 오렌지 껍질에서 발견한 희망, 제3회 구지독립영화제","1,619,000",107,"1,500,000",70명
67,67,웹툰 필수 등장 배경! 다양한 디자인의 복도 총출동!,"7,804,200",1560,"500,000",264명
